id_corrida,id_piloto,duracao_parada_seg
847,30,22.869
847,13,22.56
847,2,23.364
847,37,24.039
847,15,25.14
847,20,22.526
847,155,24.618
847,808,24.145
847,3,22.702
847,13,28.346
847,814,23.129
848,813,21.301
848,2,22.114
848,22,21.163
848,155,23.492
848,1,20.34
848,3,21.054
848,16,20.676
848,17,20.465
848,20,21.006
848,4,21.477
848,18,20.997
848,30,21.201
848,814,20.567
848,67,21.321
848,5,23.241
848,39,28.03
848,13,20.718
848,808,22.104
848,24,24.459
848,10,21.9
848,15,23.327
848,816,21.943
848,153,21.391
848,1,21.035
848,815,21.939
848,67,20.46
848,5,21.126
848,2,22.285
848,814,20.818
848,808,21.168
848,17,20.319
848,16,20.286
848,22,21.262
848,813,21.805
848,4,20.551
848,24,22.766
848,20,20.441
848,18,20.325
848,3,23.547
848,39,24.675
848,13,25.537
848,30,21.168
848,155,20.545
848,15,22.131
848,816,22.25
848,808,21.105
848,2,21.472
848,22,21.286
848,17,20.367
848,1,20.212
848,153,21.103
848,5,22.632
848,16,21.036
848,10,22.03
848,814,21.069
848,4,20.136
848,24,22.235
848,813,21.49
848,3,20.896
848,67,20.995
848,20,20.331
848,39,26.059
848,13,20.404
848,18,20.479
849,2,24.716
849,18,25.07
849,16,25.737
849,155,28.448
849,813,26.238
849,67,26.279
849,808,24.88
849,22,25.86
849,10,25.416
849,24,26.643
849,816,28.742
849,17,23.973
849,4,26.566
849,1,25.1
849,814,26.612
849,3,24.722
849,815,25.386
849,153,24.719
849,817,25.872
849,20,24.818
849,13,24.159
849,1,24.065
849,813,24.272
849,16,24.077
849,67,24.62
849,17,25.49
849,18,24.287
849,13,23.929
849,4,23.974
849,816,25.428
849,817,26.942
849,3,24.399
849,2,24.434
849,10,24.959
849,153,24.095
849,30,24.651
849,22,23.955
849,815,25.619
849,24,25.505
849,813,23.869
849,20,23.137
849,1,23.34
849,17,23.785
849,808,24.172
849,4,23.474
849,18,23.292
849,16,27.24
849,13,23.238
850,815,27.247
850,67,27.301
850,17,20.44
850,3,20.348
850,30,20.768
850,813,21.601
850,1,20.982
850,4,20.43
850,20,20.394
850,13,20.344
850,155,20.882
850,24,22.048
850,817,22.319
850,16,20.839
850,10,22.252
850,808,21.449
850,153,21.062
850,814,23.676
850,18,20.952
850,816,20.762
850,5,22.088
850,17,21.299
850,812,22.331
850,1,20.496
850,4,20.035
850,813,21.057
850,3,20.975
850,67,20.954
850,30,20.299
850,20,20.274
850,13,20.185
850,815,21.645
850,153,21.689
850,808,20.572
850,16,20.879
850,155,21.267
850,10,21.252
850,1,20.403
850,816,23.588
850,817,24.053
850,5,21.175
850,814,22.535
850,4,19.975
850,3,20.047
850,812,22.458
850,17,20.324
850,30,19.93
850,13,21.903
850,20,20.11
851,17,20.854
851,13,22.293
851,808,25.532
851,22,22.64
851,18,21.786
851,814,22.262
851,813,23.397
851,2,21.371
851,10,22.222
851,816,25.337
851,1,21.88
851,20,20.69
851,4,22.886
851,3,20.767
851,155,23.725
851,67,22.349
851,5,22.772
851,16,21.902
851,815,22.215
851,24,23.633
851,30,21.948
851,153,23.734
851,15,23.118
851,817,22.844
851,813,13.186
851,2,25.434
851,22,22.217
851,153,22.552
851,5,22.147
851,815,20.57
851,17,20.0
851,4,23.208
851,13,21.138
851,808,24.194
851,67,21.46
851,1,20.803
851,30,20.071
851,24,22.501
851,16,20.589
851,18,21.065
851,3,19.939
851,814,20.801
851,20,20.611
851,813,21.426
851,10,20.613
851,817,23.563
851,816,20.916
851,815,13.201
851,155,22.852
851,4,19.936
851,22,20.58
851,17,20.673
851,24,27.839
851,1,20.861
851,13,22.453
851,20,19.664
851,18,20.046
851,814,20.935
851,67,20.36
851,5,20.99
851,815,20.917
851,817,21.651
851,4,20.126
851,153,21.345
851,3,20.563
851,17,21.122
851,808,21.353
851,5,22.364
851,16,21.796
851,24,23.01
851,813,23.016
851,1,20.855
851,17,20.715
851,22,25.596
851,1,21.628
851,808,21.609
851,5,21.715
851,16,21.503
851,816,22.47
851,3,23.244
851,813,22.825
851,24,22.458
851,10,20.929
851,1,13.173
851,13,21.157
851,155,21.258
852,5,28.539
852,17,21.015
852,18,26.046
852,30,20.153
852,20,20.898
852,815,26.092
852,10,13.914
852,4,20.994
852,811,13.968
852,13,22.267
852,1,21.895
852,3,23.09
852,24,21.766
852,808,21.395
852,813,21.421
852,20,21.411
852,16,22.773
